shot_id,shot_made_flag
1,0.0
8,0.0
17,0.0
20,1.0
33,0.0
34,0.0
35,0.0
36,0.0
37,1.0
38,0.0
45,0.0
50,0.0
55,0.0
60,0.0
66,0.0
67,0.0
71,0.0
80,0.0
85,0.0
86,1.0
95,1.0
104,0.0
113,0.0
123,0.0
126,1.0
133,1.0
141,0.0
144,0.0
150,1.0
152,1.0
153,1.0
156,0.0
159,1.0
165,1.0
172,0.0
182,1.0
192,0.0
193,1.0
196,0.0
202,0.0
210,0.0
211,0.0
228,1.0
257,0.0
260,0.0
264,0.0
267,1.0
279,1.0
282,0.0
293,0.0
299,1.0
300,1.0
301,1.0
317,0.0
327,0.0
328,0.0
335,0.0
346,1.0
348,0.0
365,0.0
390,1.0
391,1.0
392,1.0
397,0.0
418,0.0
428,0.0
434,1.0
439,0.0
440,0.0
456,0.0
459,0.0
472,0.0
480,0.0
491,0.0
497,0.0
509,0.0
511,0.0
523,0.0
533,0.0
544,0.0
546,0.0
555,1.0
558,0.0
560,0.0
573,0.0
591,0.0
596,0.0
597,0.0
601,1.0
605,0.0
617,0.0
628,0.0
634,0.0
646,0.0
649,0.0
651,1.0
654,1.0
656,0.0
657,0.0
669,0.0
670,1.0
693,1.0
694,0.0
699,0.0
711,0.0
718,0.0
722,0.0
723,0.0
725,1.0
734,0.0
735,0.0
737,1.0
746,0.0
747,1.0
766,0.0
767,0.0
771,0.0
773,0.0
774,0.0
783,0.0
784,0.0
789,0.0
792,0.0
804,0.0
809,0.0
812,0.0
813,0.0
817,0.0
820,0.0
825,0.0
826,0.0
829,1.0
855,0.0
859,1.0
862,0.0
870,0.0
876,0.0
880,0.0
886,1.0
889,1.0
891,0.0
897,1.0
902,0.0
903,0.0
908,0.0
909,0.0
920,0.0
922,0.0
924,1.0
932,0.0
934,0.0
937,0.0
941,0.0
943,0.0
950,0.0
952,0.0
954,1.0
963,0.0
975,0.0
979,0.0
981,0.0
983,0.0
985,0.0
989,0.0
995,0.0
998,0.0
1008,0.0
1019,1.0
1023,0.0
1026,0.0
1029,1.0
1034,1.0
1036,1.0
1038,0.0
1039,1.0
1051,0.0
1052,0.0
1066,0.0
1087,0.0
1092,0.0
1094,1.0
1098,0.0
1099,0.0
1102,0.0
1118,0.0
1131,0.0
1133,1.0
1135,1.0
1138,0.0
1139,1.0
1142,0.0
1151,0.0
1152,0.0
1155,1.0
1165,0.0
1167,1.0
1172,0.0
1174,1.0
1180,0.0
1200,0.0
1202,0.0
1227,1.0
1228,1.0
1229,0.0
1237,0.0
1241,0.0
1256,0.0
1279,0.0
1293,0.0
1295,0.0
1319,1.0
1320,0.0
1321,1.0
1322,1.0
1334,0.0
1351,1.0
1373,0.0
1375,0.0
1380,0.0
1382,1.0
1385,0.0
1399,0.0
1403,1.0
1428,0.0
1434,0.0
1444,1.0
1448,0.0
1466,1.0
1476,0.0
1478,0.0
1485,0.0
1491,1.0
1494,1.0
1500,0.0
1501,1.0
1503,0.0
1519,1.0
1524,0.0
1529,1.0
1533,1.0
1538,1.0
1539,0.0
1546,0.0
1555,0.0
1559,0.0
1563,1.0
1565,1.0
1574,0.0
1591,0.0
1594,0.0
1605,0.0
1611,0.0
1614,0.0
1620,0.0
1626,0.0
1630,0.0
1632,0.0
1634,0.0
1643,0.0
1651,0.0
1655,0.0
1658,0.0
1659,0.0
1665,0.0
1675,0.0
1680,1.0
1690,0.0
1696,0.0
1714,0.0
1721,0.0
1726,0.0
1728,0.0
1734,0.0
1735,0.0
1740,0.0
1744,1.0
1747,0.0
1752,0.0
1763,1.0
1765,1.0
1769,0.0
1785,1.0
1787,0.0
1788,0.0
1793,0.0
1800,0.0
1825,0.0
1826,1.0
1834,0.0
1843,0.0
1844,0.0
1848,0.0
1849,0.0
1860,0.0
1863,0.0
1875,1.0
1883,0.0
1890,0.0
1892,0.0
1893,0.0
1897,0.0
1905,0.0
1908,1.0
1931,0.0
1940,1.0
1943,0.0
1947,0.0
1965,1.0
1967,0.0
1968,0.0
1972,1.0
1982,0.0
1985,0.0
2005,1.0
2010,1.0
2021,0.0
2024,1.0
2036,0.0
2043,1.0
2047,1.0
2049,0.0
2055,0.0
2065,0.0
2066,0.0
2070,0.0
2077,1.0
2085,1.0
2095,1.0
2097,1.0
2108,0.0
2112,1.0
2113,1.0
2122,0.0
2139,0.0
2144,1.0
2146,0.0
2148,0.0
2149,1.0
2157,0.0
2159,0.0
2168,0.0
2176,0.0
2178,1.0
2181,0.0
2187,1.0
2188,0.0
2190,0.0
2194,0.0
2197,0.0
2214,0.0
2217,0.0
2222,0.0
2223,0.0
2226,0.0
2230,1.0
2240,0.0
2247,0.0
2250,0.0
2259,1.0
2262,0.0
2266,0.0
2305,0.0
2310,0.0
2313,0.0
2319,1.0
2320,1.0
2345,0.0
2350,1.0
2356,0.0
2360,1.0
2370,0.0
2386,0.0
2398,0.0
2414,1.0
2435,1.0
2439,0.0
2446,1.0
2458,0.0
2465,0.0
2466,0.0
2470,0.0
2495,1.0
2501,0.0
2507,0.0
2533,0.0
2537,0.0
2538,0.0
2541,0.0
2542,1.0
2544,1.0
2554,0.0
2555,0.0
2565,0.0
2575,1.0
2586,0.0
2588,0.0
2594,1.0
2617,0.0
2618,0.0
2623,1.0
2631,1.0
2640,0.0
2642,1.0
2647,0.0
2663,0.0
2664,0.0
2676,0.0
2680,1.0
2681,0.0
2691,0.0
2693,0.0
2695,0.0
2704,0.0
2708,0.0
2709,1.0
2717,1.0
2722,0.0
2728,0.0
2732,1.0
2743,0.0
2752,0.0
2757,1.0
2761,0.0
2769,0.0
2771,0.0
2774,0.0
2776,0.0
2781,0.0
2793,0.0
2799,0.0
2803,0.0
2811,0.0
2818,0.0
2824,0.0
2828,1.0
2829,0.0
2830,0.0
2842,1.0
2847,1.0
2848,0.0
2868,0.0
2870,0.0
2885,0.0
2886,0.0
2889,1.0
2903,0.0
2904,1.0
2918,1.0
2919,0.0
2922,0.0
2923,0.0
2931,0.0
2945,0.0
2955,0.0
2957,1.0
2960,1.0
2963,0.0
2966,1.0
2972,1.0
2974,0.0
2982,0.0
2984,1.0
3016,0.0
3021,0.0
3023,1.0
3025,0.0
3029,0.0
3034,1.0
3038,0.0
3040,0.0
3051,1.0
3062,0.0
3069,0.0
3071,0.0
3076,1.0
3079,0.0
3081,0.0
3082,0.0
3084,1.0
3098,0.0
3104,0.0
3105,0.0
3114,1.0
3118,0.0
3122,0.0
3132,0.0
3138,0.0
3141,0.0
3156,1.0
3162,1.0
3167,0.0
3170,0.0
3171,0.0
3172,0.0
3176,1.0
3180,0.0
3189,0.0
3198,0.0
3206,0.0
3215,0.0
3222,1.0
3228,0.0
3229,0.0
3232,0.0
3233,0.0
3238,0.0
3256,0.0
3264,1.0
3273,0.0
3275,1.0
3285,0.0
3289,0.0
3294,0.0
3306,0.0
3311,1.0
3318,0.0
3322,1.0
3324,0.0
3334,1.0
3341,0.0
3345,0.0
3346,1.0
3352,0.0
3368,0.0
3371,0.0
3372,0.0
3375,0.0
3384,0.0
3387,0.0
3393,0.0
3406,0.0
3411,1.0
3412,1.0
3414,1.0
3417,1.0
3420,1.0
3423,1.0
3436,0.0
3438,1.0
3442,0.0
3443,0.0
3451,0.0
3461,0.0
3489,0.0
3491,0.0
3510,1.0
3515,1.0
3527,0.0
3530,0.0
3540,0.0
3582,0.0
3604,0.0
3605,0.0
3609,0.0
3624,0.0
3628,1.0
3630,0.0
3641,0.0
3642,0.0
3648,0.0
3650,1.0
3652,1.0
3660,0.0
3664,0.0
3670,0.0
3672,0.0
3680,0.0
3682,1.0
3685,1.0
3686,0.0
3689,0.0
3705,0.0
3712,0.0
3713,0.0
3719,0.0
3721,0.0
3723,1.0
3724,0.0
3727,0.0
3733,1.0
3734,0.0
3742,0.0
3770,0.0
3777,0.0
3778,0.0
3780,0.0
3783,0.0
3784,0.0
3788,0.0
3790,0.0
3794,0.0
3795,0.0
3796,0.0
3801,1.0
3806,0.0
3813,0.0
3814,0.0
3818,0.0
3824,0.0
3836,0.0
3853,1.0
3855,0.0
3858,0.0
3861,1.0
3866,0.0
3870,0.0
3874,1.0
3876,0.0
3878,0.0
3890,0.0
3900,1.0
3904,0.0
3906,0.0
3907,0.0
3908,0.0
3912,0.0
3918,1.0
3923,1.0
3924,0.0
3925,0.0
3927,1.0
3955,1.0
3964,0.0
3969,0.0
3974,1.0
3976,0.0
3984,0.0
3991,0.0
3993,1.0
4009,0.0
4011,0.0
4020,0.0
4033,0.0
4041,0.0
4045,1.0
4052,0.0
4055,0.0
4056,0.0
4057,0.0
4067,1.0
4069,0.0
4077,0.0
4094,0.0
4095,0.0
4100,0.0
4119,0.0
4130,1.0
4131,0.0
4132,1.0
4134,1.0
4137,1.0
4138,0.0
4143,0.0
4145,0.0
4148,0.0
4163,0.0
4166,0.0
4169,1.0
4170,0.0
4174,0.0
4180,0.0
4199,1.0
4201,0.0
4203,0.0
4210,0.0
4211,0.0
4213,1.0
4225,0.0
4235,0.0
4242,0.0
4245,0.0
4250,0.0
4252,0.0
4254,0.0
4263,0.0
4264,0.0
4268,0.0
4270,0.0
4282,1.0
4283,0.0
4291,0.0
4304,0.0
4306,0.0
4309,0.0
4310,0.0
4313,0.0
4314,0.0
4315,0.0
4321,0.0
4324,0.0
4325,0.0
4328,0.0
4329,0.0
4332,0.0
4337,0.0
4342,0.0
4344,0.0
4352,0.0
4355,0.0
4366,0.0
4371,0.0
4372,0.0
4376,0.0
4384,0.0
4387,0.0
4389,0.0
4390,0.0
4406,0.0
4407,1.0
4409,1.0
4410,1.0
4424,0.0
4434,0.0
4452,0.0
4460,0.0
4470,1.0
4480,0.0
4496,1.0
4503,0.0
4512,0.0
4518,1.0
4519,0.0
4522,0.0
4525,0.0
4537,1.0
4546,0.0
4547,1.0
4553,0.0
4556,0.0
4558,1.0
4563,0.0
4568,0.0
4574,1.0
4578,0.0
4587,0.0
4592,1.0
4610,0.0
4615,0.0
4619,0.0
4620,1.0
4625,1.0
4635,0.0
4636,0.0
4641,0.0
4650,0.0
4653,1.0
4665,0.0
4668,1.0
4669,0.0
4670,0.0
4674,0.0
4675,0.0
4676,0.0
4679,0.0
4680,1.0
4686,0.0
4699,0.0
4713,1.0
4718,0.0
4721,0.0
4722,0.0
4724,0.0
4730,1.0
4731,0.0
4735,0.0
4743,0.0
4745,0.0
4746,1.0
4747,0.0
4748,0.0
4769,0.0
4771,0.0
4774,0.0
4784,0.0
4797,0.0
4801,1.0
4804,0.0
4820,0.0
4833,0.0
4834,0.0
4851,0.0
4859,0.0
4860,1.0
4863,0.0
4873,0.0
4881,0.0
4892,0.0
4908,0.0
4911,0.0
4915,0.0
4922,0.0
4929,0.0
4936,0.0
4939,0.0
4951,0.0
4956,0.0
4961,0.0
4964,0.0
4981,0.0
4991,1.0
4992,0.0
4997,0.0
5004,0.0
5010,0.0
5012,0.0
5015,0.0
5020,0.0
5030,0.0
5051,1.0
5052,0.0
5057,1.0
5058,0.0
5060,0.0
5061,0.0
5064,1.0
5078,0.0
5080,0.0
5088,0.0
5089,1.0
5090,0.0
5103,1.0
5108,0.0
5114,0.0
5115,0.0
5124,1.0
5137,0.0
5139,0.0
5144,0.0
5149,1.0
5157,0.0
5163,0.0
5174,0.0
5176,0.0
5179,0.0
5186,0.0
5203,1.0
5204,1.0
5206,0.0
5207,1.0
5220,0.0
5221,1.0
5224,0.0
5227,0.0
5229,0.0
5232,1.0
5240,1.0
5242,1.0
5243,0.0
5245,1.0
5248,0.0
5249,0.0
5254,0.0
5269,0.0
5272,0.0
5276,0.0
5286,1.0
5290,0.0
5308,0.0
5316,0.0
5318,0.0
5319,0.0
5320,0.0
5322,0.0
5324,0.0
5331,1.0
5336,1.0
5344,0.0
5354,0.0
5356,0.0
5358,0.0
5361,0.0
5365,1.0
5370,1.0
5376,0.0
5383,0.0
5384,0.0
5385,0.0
5393,1.0
5397,0.0
5398,0.0
5402,0.0
5407,1.0
5409,0.0
5425,0.0
5428,1.0
5430,0.0
5442,0.0
5447,0.0
5470,0.0
5485,0.0
5493,0.0
5502,1.0
5504,0.0
5517,0.0
5522,0.0
5527,1.0
5528,0.0
5536,1.0
5545,0.0
5576,0.0
5577,0.0
5592,0.0
5594,0.0
5595,0.0
5596,0.0
5599,0.0
5606,0.0
5617,0.0
5625,1.0
5626,0.0
5627,1.0
5642,1.0
5659,1.0
5664,1.0
5666,1.0
5671,0.0
5674,0.0
5677,1.0
5681,0.0
5683,0.0
5700,1.0
5713,0.0
5715,0.0
5718,0.0
5726,0.0
5738,0.0
5741,1.0
5743,1.0
5753,0.0
5761,0.0
5789,1.0
5797,0.0
5803,0.0
5810,1.0
5813,0.0
5817,0.0
5818,0.0
5822,0.0
